t,horiz,vert
1,66.78,304.35
2,88.734,283.47
3,97.629,314.07
4,107.85,296.48
5,81.749,297.2
6,86.847,292.56
7,95.486,291.14
8,91.402,298.69
9,69.45,306.28
10,89.642,301.4
11,105.82,292.9
12,95.629,293.86
13,84.097,302.76
14,89.741,317.53
15,81.487,306.95
16,87.259,291.2
17,103.41,300.56
18,91.869,313.53
19,85.373,307.36
20,96.941,311.3
21,85.007,300.4
22,79.301,322.22
23,86.385,301.3
24,97.02,315.15
25,72.678,303.66
26,113.56,304.41
27,90.481,307.52
28,72.252,307.58
29,104.56,319.8
30,64.89,303.53
31,80.45,313.65
32,82.583,369.14
33,69.285,355.69
34,90.031,355.8
35,75.603,344.79
36,93.531,332.29
37,85.408,338.02
38,122.71,197.19
39,143.57,195.72
40,129.96,185.34
41,142.01,184.94
42,142.64,194.24
43,148.86,198.09
44,159.86,192.7
45,132.67,207.89
46,137.58,205.34
47,127.06,201.9
48,148.53,204.99
49,129.76,186.83
50,146.05,207.87
51,123.91,202.62
52,144.98,188.76
53,139.81,198.46
54,157.62,201.84
55,134.17,196.84
56,130.19,207.45
57,80.354,89.743
58,77.046,96.187
59,73.76,83.293
60,60.74,92.533
61,74.079,88.117
62,65.623,92.704
63,82.736,82.413
64,87.427,101.81
65,93.274,77.583
66,85.25,86.547
67,68.714,103.62
68,77.938,101
69,66.073,82.111
70,119.09,6.4231
71,97.76,9.665
72,75.594,26.378
73,93.323,16.208
74,92.141,33.948
75,89.299,6.8643
76,102.67,5.5125
77,96.038,16.487
78,96.009,11.647
79,82.505,14.124
80,84.282,25.335
81,90.04,10.505
82,90.116,9.1104
83,105.71,33.119
84,90.44,20.731
85,83.186,25.734
86,82.857,5.8647
87,78.612,13.876
88,100.32,24.065
89,96.885,1.5307
90,81.429,28.932
91,77.235,26.736
92,88.562,14.022
93,109.27,6.9239
94,83.519,12.251
95,87.865,20.577
96,75.756,21.5
97,79.438,13.962
98,86.929,25.136
99,97.066,29.914
100,71.16,19.23
101,78.156,9.2868
102,108.71,15.087
103,88.516,8.1771
104,179.4,89.385
105,158.41,90.075
